Time (Mars Years), Time (Ls), Tsurf 1 bar 30km, Tsurf 1 bar 50km, Tsurf 1 bar 100km
          [Years],     [deg],              [K],              [K],               [K]
        0.7209        249.26        286.583        293.132        326.036
        0.7224        249.80        286.553        293.066        325.917
        0.7239        250.33        286.552        292.967        325.846
        0.7254        250.87        286.537        292.923        325.855
        0.7269        251.41        286.513        292.844        325.783
        0.7284        251.95        286.446        292.773        325.830
        0.7299        252.49        286.379        292.749        325.852
        0.7314        253.03        286.350        292.675        325.761
        0.7329        253.56        286.263        292.565        325.788
        0.7344        254.10        286.185        292.510        325.821
        0.7359        254.64        286.122        292.454        325.825
        0.7374        255.18        286.039        292.426        325.793
        0.7389        255.72        286.003        292.364        325.680
        0.7404        256.26        285.884        292.332        325.586
        0.7419        256.80        285.852        292.195        325.531
        0.7427        257.12        285.789        292.086        325.367
        0.7442        257.66        285.686        292.012        325.258
        0.7457        258.19        285.614        291.933        325.153
        0.7472        258.73        285.560        291.865        325.141
        0.7487        259.27        285.511        291.850        325.191
        0.7502        259.81        285.435        291.792        325.140
        0.7517        260.35        285.381        291.772        325.010
        0.7532        260.89        285.366        291.687        324.899
        0.7547        261.42        285.291        291.614        324.821
        0.7562        261.96        285.257        291.477        324.735
        0.7577        262.50        285.258        291.421        324.670
        0.7592        263.04        285.227        291.412        324.713
        0.7607        263.58        285.213        291.353        324.694
        0.7622        264.12        285.199        291.254        324.639
        0.7637        264.66        285.105        291.236        324.598
        0.7652        265.19        284.937        291.204        324.582
        0.7667        265.73        284.788        291.120        324.469
        0.7682        266.27        284.726        290.996        324.366
        0.7697        266.81        284.656        290.941        324.379
        0.7712        267.35        284.559        290.899        324.365
        0.7727        267.89        284.480        290.850        324.321
        0.7742        268.42        284.390        290.766        324.327
        0.7756        268.96        284.298        290.720        324.326
        0.7771        269.50        284.297        290.674        324.303
        0.7786        270.04        284.254        290.649        324.359
        0.7801        270.58        284.141        290.628        324.354
        0.7816        271.12        284.063        290.528        324.294
        0.7831        271.66        283.987        290.342        324.148
        0.7846        272.19        283.959        290.260        324.083
        0.7861        272.73        283.937        290.198        324.019
        0.7876        273.27        283.900        290.150        323.995
        0.7891        273.81        283.830        290.075        323.923
        0.7906        274.35        283.755        289.996        323.859
        0.7921        274.89        283.740        289.949        323.874
        0.7936        275.42        283.692        289.909        323.881
        0.7951        275.96        283.690        289.871        323.900
        0.7966        276.50        283.647        289.795        323.939
        0.7981        277.04        283.572        289.707        323.793
        0.7996        277.58        283.501        289.640        323.549
        0.8011        278.12        283.427        289.613        323.440
        0.8026        278.65        283.378        289.585        323.385
        0.8041        279.19        283.331        289.566        323.451
        0.8056        279.73        283.264        289.479        323.497
        0.8071        280.27        283.228        289.411        323.508
        0.8086        280.81        283.175        289.374        323.498
        0.8101        281.35        283.113        289.329        323.481
        0.8115        281.89        283.043        289.249        323.421
        0.8130        282.42        282.934        289.177        323.344
        0.8145        282.96        282.864        289.109        323.228
        0.8160        283.50        282.823        289.075        323.167
        0.8175        284.04        282.737        289.038        323.206
        0.8190        284.58        282.657        288.967        323.168
        0.8205        285.12        282.543        288.936        323.029
        0.8220        285.65        282.470        288.850        322.998
        0.8235        286.19        282.421        288.787        323.070
        0.8250        286.73        282.385        288.745        322.989
        0.8265        287.27        282.338        288.723        322.838
        0.8280        287.81        282.307        288.681        322.722
        0.8295        288.35        282.250        288.637        322.673
        0.8310        288.89        282.255        288.586        322.625
        0.8325        289.42        282.203        288.478        322.469
        0.8340        289.96        282.098        288.379        322.342
        0.8355        290.50        281.999        288.297        322.232
        0.8370        291.04        281.968        288.225        322.130
        0.8385        291.58        281.964        288.175        321.965
        0.8400        292.12        281.895        288.143        321.951
        0.8415        292.65        281.832        288.104        321.937
        0.8430        293.19        281.792        288.068        321.861
        0.8445        293.73        281.743        288.029        321.769
        0.8459        294.27        281.699        287.913        321.616
        0.8474        294.81        281.647        287.851        321.620
        0.8489        295.35        281.607        287.826        321.613
        0.8504        295.88        281.527        287.785        321.433
        0.8519        296.42        281.408        287.733        321.324
        0.8534        296.96        281.374        287.729        321.331
        0.8549        297.50        281.303        287.657        321.361
        0.8564        298.04        281.224        287.573        321.420
        0.8579        298.58        281.171        287.500        321.481
        0.8594        299.12        281.148        287.472        321.474
        0.8609        299.65        281.092        287.434        321.386
        0.8624        300.19        281.045        287.397        321.242
        0.8639        300.73        280.964        287.319        321.158
        0.8654        301.27        280.916        287.233        321.035
        0.8669        301.81        280.802        287.196        320.909
        0.8684        302.35        280.744        287.179        320.818
        0.8699        302.88        280.718        287.120        320.797
        0.8714        303.42        280.642        287.061        320.771
        0.8729        303.96        280.512        287.018        320.784
        0.8744        304.50        280.463        286.998        320.670
        0.8759        305.04        280.383        286.932        320.444
        0.8774        305.58        280.335        286.910        320.466
        0.8789        306.12        280.311        286.903        320.448
        0.8803        306.65        280.262        286.845        320.356
        0.8818        307.19        280.264        286.737        320.296
        0.8833        307.73        280.238        286.692        320.377
        0.8848        308.27        280.205        286.633        320.441
