Time (Mars Years), Time (Ls), Tsurf 500 mb 30km, Tsurf 500 mb 50km, Tsurf 500 mb 100km
          [Years],     [deg],               [K],               [K],                [K]
        0.4816        163.11        260.564        273.987        318.460
        0.4831        163.65        260.422        273.845        318.400
        0.4846        164.18        260.124        273.685        318.311
        0.4861        164.72        259.964        273.536        318.252
        0.4876        165.26        260.032        273.444        318.171
        0.4891        165.80        260.221        273.341        318.112
        0.4906        166.34        260.368        273.199        318.069
        0.4921        166.88        260.377        272.983        317.974
        0.4936        167.41        260.437        272.917        317.831
        0.4951        167.95        260.444        272.865        317.775
        0.4966        168.49        260.325        272.751        317.742
        0.4981        169.03        260.085        272.557        317.645
        0.4996        169.57        259.780        272.488        317.533
        0.5010        170.11        259.631        272.444        317.550
        0.5025        170.64        259.569        272.297        317.487
        0.5040        171.18        259.563        272.143        317.447
        0.5055        171.72        259.596        271.979        317.361
        0.5070        172.26        259.457        271.818        317.283
        0.5085        172.80        259.164        271.728        317.211
        0.5100        173.34        259.102        271.513        317.135
        0.5115        173.88        259.054        271.360        317.002
        0.5130        174.41        258.998        271.331        316.919
        0.5145        174.95        259.031        271.394        316.894
        0.5160        175.49        259.059        271.441        316.779
        0.5175        176.03        259.099        271.290        316.638
        0.5190        176.57        259.157        271.270        316.600
        0.5205        177.11        259.116        271.163        316.584
        0.5220        177.64        258.916        271.184        316.512
        0.5235        178.18        258.649        271.184        316.497
        0.5250        178.72        258.317        271.172        316.446
        0.5265        179.26        258.197        271.072        316.390
        0.5280        179.80        258.260        270.928        316.302
        0.5295        180.34        258.269        270.642        316.184
        0.5310        180.88        258.179        270.474        316.089
        0.5325        181.41        258.279        270.467        316.103
        0.5340        181.95        258.239        270.325        316.073
        0.5354        182.49        258.188        270.228        315.957
        0.5369        183.03        258.189        270.138        315.892
        0.5384        183.57        258.135        270.198        315.806
        0.5399        184.11        258.041        270.223        315.664
        0.5414        184.64        257.874        270.139        315.545
        0.5429        185.18        257.711        270.041        315.471
        0.5444        185.72        257.731        269.983        315.416
        0.5459        186.26        257.750        269.893        315.302
        0.5474        186.80        257.712        269.814        315.271
        0.5489        187.34        257.574        269.762        315.220
        0.5504        187.87        257.336        269.677        315.168
        0.5519        188.41        257.189        269.533        315.131
        0.5534        188.95        257.083        269.345        315.079
        0.5549        189.49        256.872        269.068        314.984
        0.5564        190.03        256.640        269.000        314.925
        0.5579        190.57        256.595        269.039        314.847
        0.5594        191.11        256.717        269.038        314.767
        0.5609        191.64        256.689        268.982        314.655
        0.5624        192.18        256.588        268.801        314.529
        0.5639        192.72        256.382        268.591        314.398
        0.5654        193.26        256.129        268.519        314.298
        0.5669        193.80        256.019        268.541        314.289
        0.5684        194.34        256.089        268.532        314.245
        0.5698        194.87        255.997        268.402        314.203
        0.5713        195.41        255.815        268.225        314.167
        0.5728        195.95        255.538        268.000        314.148
        0.5743        196.49        255.454        267.914        314.093
        0.5758        197.03        255.545        267.869        313.988
        0.5773        197.57        255.507        267.779        313.805
        0.5788        198.11        255.211        267.698        313.779
        0.5803        198.64        254.927        267.642        313.798
        0.5818        199.18        254.920        267.491        313.800
        0.5833        199.72        254.934        267.296        313.786
        0.5848        200.26        254.861        267.104        313.683
        0.5863        200.80        254.641        266.968        313.575
        0.5878        201.34        254.496        266.877        313.537
        0.5893        201.87        254.455        266.826        313.474
        0.5908        202.41        254.483        266.732        313.403
        0.5923        202.95        254.461        266.586        313.282
        0.5938        203.49        254.394        266.577        313.232
        0.5953        204.03        254.311        266.450        313.236
        0.5968        204.57        254.352        266.441        313.186
        0.5983        205.10        254.367        266.434        313.034
        0.5998        205.64        254.315        266.313        312.975
        0.6013        206.18        254.149        266.104        312.912
        0.6028        206.72        254.029        265.928        312.841
        0.6042        207.26        253.894        265.769        312.755
        0.6057        207.80        253.752        265.524        312.606
        0.6072        208.34        253.649        265.360        312.466
        0.6087        208.87        253.510        265.258        312.356
        0.6102        209.41        253.445        265.238        312.381
        0.6117        209.95        253.397        265.148        312.315
        0.6132        210.49        253.225        264.995        312.278
        0.6147        211.03        253.032        264.979        312.209
        0.6162        211.57        252.947        264.969        312.140
        0.6177        212.10        253.046        264.863        312.132
        0.6192        212.64        253.084        264.737        312.100
        0.6207        213.18        252.968        264.647        312.040
        0.6222        213.72        252.884        264.529        311.998
        0.6237        214.26        252.937        264.387        311.899
        0.6252        214.80        252.878        264.132        311.814
